index,word,qnt,,,,,,,,
49,над,13,8670,142,"94,03","59,41",,,"91,10","94,03"
257,чал,13,8683,143,"94,18","59,83",,,"91,28","94,18"
200,дни,12,8695,144,"94,31","60,25",,,"91,45","94,31"
186,эти,12,8707,145,"94,44","60,67",,,"91,62","94,44"
181,ект,12,8719,146,"94,57","61,09",,,"91,79","94,57"
176,о э,12,8731,147,"94,70","61,51",,,"91,96","94,70"
256,ача,12,8743,148,"94,83","61,92",,,"92,12","94,83"
184,а э,12,8755,149,"94,96","62,34",,,"92,28","94,96"
167,ожи,12,8767,150,"95,09","62,76",,,"92,45","95,09"
130,глу,11,8778,151,"95,21","63,18",,,"92,60","95,21"
94,а б,11,8789,152,"95,33","63,60",,,"92,76","95,33"
199,едн,11,8800,153,"95,44","64,02",,,"92,90","95,44"
92,у н,11,8811,154,"95,56","64,44",,,"93,05","95,56"
244,ы п,11,8822,155,"95,68","64,85",,,"93,20","95,68"
29,ане,11,8833,156,"95,80","65,27",,,"93,34","95,80"
69,зал,11,8844,157,"95,92","65,69",,,"93,48","95,92"
99,ре ,11,8855,158,"96,04","66,11",,,"93,62","96,04"
85,ью ,11,8866,159,"96,16","66,53",,,"93,75","96,16"
68,еза,10,8876,160,"96,27","66,95",,,"93,88","96,27"
169,ида,10,8886,161,"96,38","67,36",,,"94,01","96,38"
101,е к,10,8896,162,"96,49","67,78",,,"94,14","96,49"
102, ку,10,8906,163,"96,59","68,20",,,"94,27","96,59"
241,ман,10,8916,164,"96,70","68,62",,,"94,39","96,70"
245, па,9,8925,165,"96,80","69,04",,,"94,51","96,80"
248,льт,9,8934,166,"96,90","69,46",,,"94,63","96,90"
63,- о,9,8943,167,"97,00","69,87",,,"94,75","97,00"
182,кта,9,8952,168,"97,09","70,29",,,"94,87","97,09"
56,й ж,8,8960,169,"97,18","70,71",,,"94,99","97,18"
113,ясн,8,8968,170,"97,27","71,13",,,"95,11","97,27"
262,а к,8,8976,171,"97,35","71,55",,,"95,23","97,35"
144, сд,8,8984,172,"97,44","71,97",,,"95,34","97,44"
145,сде,8,8992,173,"97,53","72,38",,,"95,46","97,53"
123,еши,8,9000,174,"97,61","72,80",,,"95,57","97,61"
89,аск,7,9007,175,"97,69","73,22",,,"95,68","97,69"
52,цат,7,9014,176,"97,77","73,64",,,"95,79","97,77"
219,арс,7,9021,177,"97,84","74,06",,,"95,89","97,84"
43,ме ,7,9028,178,"97,92","74,48",,,"96,00","97,92"
11,нна,7,9035,179,"97,99","74,90",,,"96,09","97,99"
141,"от,",7,9042,180,"98,07","75,31",,,"96,19","98,07"
240,рма,7,9049,181,"98,15","75,73",,,"96,29","98,15"
214,- п,6,9055,182,"98,21","76,15",,,"96,38","98,21"
121,уте,6,9061,183,"98,28","76,57",,,"96,47","98,28"
217,ожа,6,9067,184,"98,34","76,99",,,"96,56","98,34"
228,нул,6,9073,185,"98,41","77,41",,,"96,64","98,41"
268,ках,6,9079,186,"98,47","77,82",,,"96,73","98,47"
83,ечь,5,9084,187,"98,52","78,24",,,"96,81","98,52"
111,бъя,5,9089,188,"98,58","78,66",,,"96,90","98,58"
47,ятн,5,9094,189,"98,63","79,08",,,"96,98","98,63"
246,пал,5,9099,190,"98,69","79,50",,,"97,06","98,69"
216,пож,5,9104,191,"98,74","79,92",,,"97,14","98,74"
197,есе,4,9108,192,"98,79","80,33",,,"97,22","98,79"
112,ъяс,4,9112,193,"98,83","80,75",,,"97,30","98,83"
39,в г,4,9116,194,"98,87","81,17",,,"97,38","98,87"
98,зар,4,9120,195,"98,92","81,59",,,"97,46","98,92"
32,т ж,4,9124,196,"98,96","82,01",,,"97,54","98,96"
255,кач,4,9128,197,"99,00","82,43",,,"97,62","99,00"
42,аре,4,9132,198,"99,05","82,85",,,"97,69","99,05"
2,- с,4,9136,199,"99,09","83,26",,,"97,77","99,09"
232,рук,4,9140,200,"99,13","83,68",,,"97,85","99,13"
95, ба,3,9143,201,"99,16","84,10",,,"97,92","99,16"
198,сед,3,9146,202,"99,20","84,52",,,"98,00","99,20"
239,арм,3,9149,203,"99,23","84,94",,,"98,07","99,23"
51,дца,3,9152,204,"99,26","85,36",,,"98,14","99,26"
242,аны,3,9155,205,"99,30","85,77",,,"98,22","99,30"
168,жид,3,9158,206,"99,33","86,19",,,"98,29","99,33"
238,кар,3,9161,207,"99,36","86,61",,,"98,36","99,36"
122,теш,3,9164,208,"99,39","87,03",,,"98,42","99,39"
258,алс,3,9167,209,"99,43","87,45",,,"98,49","99,43"
46,пят,3,9170,210,"99,46","87,87",,,"98,55","99,46"
231, ру,3,9173,211,"99,49","88,28",,,"98,61","99,49"
86,ю л,3,9176,212,"99,52","88,70",,,"98,67","99,52"
263,каб,2,9178,213,"99,54","89,12",,,"98,73","99,54"
61,", -",2,9180,214,"99,57","89,54",,,"98,79","99,57"
233,уки,2,9182,215,"99,59","89,96",,,"98,85","99,59"
50,адц,2,9184,216,"99,61","90,38",,,"98,90","99,61"
87, ла,2,9186,217,"99,63","90,79",,,"98,95","99,63"
166, ож,2,9188,218,"99,65","91,21",,,"99,00","99,65"
148,лал,2,9190,219,"99,67","91,63",,,"99,05","99,67"
264,абл,2,9192,220,"99,70","92,05",,,"99,10","99,70"
265,блу,2,9194,221,"99,72","92,47",,,"99,14","99,72"
40, га,2,9196,222,"99,74","92,89",,,"99,19","99,74"
135,нао,2,9198,223,"99,76","93,31",,,"99,24","99,76"
136,аоб,2,9200,224,"99,78","93,72",,,"99,28","99,78"
14,я ж,2,9202,225,"99,80","94,14",,,"99,33","99,80"
124,шил,2,9204,226,"99,83","94,56",,,"99,38","99,83"
104,упи,2,9206,227,"99,85","94,98",,,"99,42","99,85"
128, иг,2,9208,228,"99,87","95,40",,,"99,46","99,87"
220,рск,2,9210,229,"99,89","95,82",,,"99,50","99,89"
218,жар,2,9212,230,"99,91","96,23",,,"99,54","99,91"
84,чью,1,9213,231,"99,92","96,65",,,"99,58","99,92"
129,игл,1,9214,232,"99,93","97,07",,,"99,61","99,93"
229,ул ,1,9215,233,"99,95","97,49",,,"99,65","99,95"
131,"лу,",1,9216,234,"99,96","97,91",,,"99,67","99,96"
114,сне,1,9217,235,"99,97","98,33",,,"99,70","99,97"
267,ука,1,9218,236,"99,98","98,74",,,"99,73","99,98"
45, пя,1,9219,237,"99,99","99,16",,,"99,75","99,99"
41,гар,1,9220,238,"100,00","99,58",,,"99,77","100,00"
,,,,,,,,,"99,79",
,,,,,,,,,"99,81",
,,,,,,,,,"99,83",
,,,,,,,,,"99,84",
,,,,,,,,,"99,86",
,,,,,,,,,"99,87",
,,,,,,,,,"99,89",
,,,,,,,,,"99,90",
,,,,,,,,,"99,91",
,,,,,,,,,"99,93",
,,,,,,,,,"99,94",
,,,,,,,,,"99,96",
,,,,,,,,,"99,97",
,,,,,,,,,"99,98",
,,,,,,,,,"99,99",
,,,,,,,,,"100,00",
,,,,,,,,,"100,00",
,,,,,,,,,100,
